Generation;Lower fitness;Higher fitness;Average fitness
510;203;1067,599976;935,1947562
511;203;1115;963,79915
512;203;1067,599976;929,8515809
513;203;1115;932,0529437
514;203;1227,599976;935,9814155
515;203;1067,824951;935,275125
516;203;1227;953,6154343
517;203;1067,599976;905,642229
518;203;1067,599976;938,6088904
519;203;1067,599976;937,4261966
520;203;1067,599976;902,9654989
521;203;1067,599976;959,17956
522;203;1067,599976;947,4100923
523;203;1067,599976;928,6234346
524;203;1067,599976;956,846077
525;203;1067,599976;954,5116258
526;203;1115;951,7691979
527;203;1067,599976;968,4059837
528;125,9522858;1115,599976;971,7415596
529;203;1067,599976;903,8125235
530;203;1067,599976;936,35234
531;203;1227;940,8308218
532;203;1067,599976;928,0571742
533;203;1067,599976;928,7159607
534;203;1115,599976;933,2588772
535;203;1067,599976;935,6187516
536;203;2043;958,5464247
537;203;1547,599976;946,1880787
538;203;1067,599976;983,8137685
539;203;1067,599976;953,4580994
540;203;1067,599976;969,0259835
541;203;1067,599976;962,3945649
542;203;1067,599976;979,1629579
543;203;1067,599976;976,1155787
544;203;1115,599976;959,3100624
545;203;1115,599976;946,1906531
546;203;1115,599976;959,0394209
547;203;1115,599976;953,7838224
